action_taken,derived_race,derived_ethnicity,applicant_sex,applicant_age,income,debt_to_income_ratio,applicant_credit_score_type,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,loan_type,loan_purpose,lien_status,property_value,occupancy_type,tract_minority_population_percent,aus-1,denial_reason-1
1,White,Joint,1,35-44,95.0,38,2,295000.0,96.5,7.125,0.697,2,1,1,305000,1,20.49,3,10
1,White,Not Hispanic or Latino,1,25-34,126.0,49,2,335000.0,95.0,7.375,0.62,1,1,1,355000,1,20.49,1,10
3,White,Not Hispanic or Latino,1,25-34,133.0,50%-60%,1,505000.0,95.0,,,1,1,1,535000,1,29.83,2,1
1,White,Joint,1,25-34,130.0,46,2,365000.0,97.0,7.625,0.496,1,1,1,385000,1,20.01,1,10
4,White,Not Hispanic or Latino,2,35-44,64.0,,9,215000.0,,,,1,1,1,,1,19.02,1,10
1,White,Not Hispanic or Latino,1,25-34,129.0,30%-<36%,3,335000.0,95.0,8.125,0.902,1,1,1,325000,1,25.14,1,10
1,White,Not Hispanic or Latino,2,45-54,85.0,30%-<36%,1,195000.0,51.872,6.625,-0.204,1,1,1,375000,1,34.1,2,10
1,Asian,Not Hispanic or Latino,2,25-34,173.0,49,1,355000.0,80.0,7.625,0.517,1,1,1,445000,1,29.72,2,10
4,White,Not Hispanic or Latino,2,45-54,202.0,,9,395000.0,,,,1,1,1,,1,45.01,2,10
1,White,Not Hispanic or Latino,1,25-34,126.0,39,3,325000.0,95.0,7.375,0.631,1,1,1,345000,1,34.99,1,10
1,Asian,Not Hispanic or Latino,1,55-64,338.0,40,1,165000.0,75.0,6.625,,1,1,1,225000,3,30.06,1,10
1,White,Not Hispanic or Latino,1,35-44,108.0,42,2,355000.0,47.297,6.875,0.015,1,1,1,745000,1,33.23,1,10
1,Black or African American,Not Hispanic or Latino,1,55-64,84.0,49,3,315000.0,90.0,7.125,0.512,2,1,1,345000,1,24.38,3,10
1,White,Not Hispanic or Latino,2,45-54,205.0,43,1,385000.0,92.771,7.625,0.615,1,1,1,415000,1,26.63,1,10
1,White,Not Hispanic or Latino,1,45-54,271.0,20%-<30%,2,105000.0,22.523,6.875,-0.271,1,1,1,445000,2,14.83,1,10
1,White,Not Hispanic or Latino,1,35-44,129.0,44,2,355000.0,65.0,6.375,-0.013,1,1,1,555000,1,42.75,1,10
1,White,Not Hispanic or Latino,2,25-34,129.0,39,1,395000.0,80.0,6.375,-0.047,1,1,1,485000,1,26.63,1,10
1,White,Not Hispanic or Latino,2,25-34,138.0,50%-60%,1,245000.0,90.0,7.75,1.27,2,1,1,275000,1,13.74,3,10
1,White,Not Hispanic or Latino,2,35-44,115.0,20%-<30%,2,255000.0,90.0,7.5,0.584,1,1,1,285000,1,16.93,1,10
4,White,Not Hispanic or Latino,2,65-74,101.0,,9,415000.0,,,,1,1,1,,1,16.54,2,10
1,White,Not Hispanic or Latino,2,65-74,72.0,20%-<30%,1,215000.0,75.0,8.125,,1,1,1,295000,3,63.55,1,10
1,White,Not Hispanic or Latino,1,45-54,76.0,<20%,3,425000.0,65.0,8.5,,1,1,1,655000,3,26.6,1,10
4,White,Not Hispanic or Latino,1,25-34,71.0,,9,285000.0,,,,1,1,1,,1,30.71,1,10
4,White,Not Hispanic or Latino,2,55-64,172.0,,9,415000.0,,,,1,1,1,,1,47.96,2,10
5,White,Not Hispanic or Latino,2,65-74,103.0,,9,455000.0,,,,1,1,1,,1,20.03,2,10
1,Black or African American,Not Hispanic or Latino,1,65-74,145.0,48,3,445000.0,96.5,7.625,0.75,2,1,1,455000,1,26.63,3,10
1,White,Not Hispanic or Latino,2,55-64,48.0,48,3,135000.0,73.437,7.125,-0.521,1,1,1,175000,1,29.37,2,10
4,White,Not Hispanic or Latino,2,65-74,39.0,,9,125000.0,,,,1,1,1,,1,13.39,1,10
1,White,Not Hispanic or Latino,1,25-34,143.0,43,1,345000.0,95.0,7.75,1.051,1,1,1,365000,1,24.18,2,10
1,White,Not Hispanic or Latino,2,25-34,184.0,47,3,425000.0,55.0,7.0,-0.322,1,1,1,765000,1,13.89,1,10
3,Black or African American,Not Hispanic or Latino,2,45-54,255.0,20%-<30%,8,105000.0,25.0,,,1,1,1,405000,1,29.37,6,3
1,White,Not Hispanic or Latino,1,35-44,223.0,42,1,305000.0,80.0,6.375,-0.763,1,1,1,375000,1,18.81,2,10
1,White,Not Hispanic or Latino,1,25-34,565.0,20%-<30%,9,1125000.0,80.0,5.625,-1.404,1,1,1,1415000,1,13.3,7,10
3,Black or African American,Not Hispanic or Latino,1,45-54,97.0,37,3,225000.0,95.0,,,1,1,1,245000,1,42.03,2,3
3,Asian,Not Hispanic or Latino,1,35-44,53.0,41,3,155000.0,90.0,,,1,1,1,175000,1,42.03,2,4
3,American Indian or Alaska Native,Hispanic or Latino,2,55-64,35.0,44,3,165000.0,80.0,,,1,1,1,215000,3,86.57,7,4
2,White,Not Hispanic or Latino,1,35-44,153.0,30%-<36%,8,165000.0,80.78,6.49,,1,1,2,455000,1,29.37,6,10
1,White,Not Hispanic or Latino,1,35-44,266.0,20%-<30%,3,545000.0,78.27,4.75,-0.922,1,1,1,695000,1,15.57,2,10
3,Asian,Not Hispanic or Latino,2,25-34,58.0,20%-<30%,9,165000.0,80.0,,,1,1,1,215000,1,53.93,2,9
3,White,Ethnicity Not Available,1,35-44,90.0,48,1,105000.0,36.37,,,1,1,1,275000,1,20.95,7,1
3,Asian,Not Hispanic or Latino,2,25-34,33.0,50%-60%,1,165000.0,80.0,,,1,1,1,215000,1,53.93,7,1
3,Asian,Not Hispanic or Latino,1,45-54,155.0,20%-<30%,8,215000.0,80.1,,,1,1,2,405000,1,48.78,6,3
3,White,Not Hispanic or Latino,2,>74,46.0,>60%,8,135000.0,87.74,,,1,1,1,155000,1,42.75,6,1
1,Asian,Not Hispanic or Latino,1,35-44,136.0,30%-<36%,1,335000.0,95.0,5.5,-0.671,1,1,1,355000,1,48.78,2,10
1,Black or African American,Not Hispanic or Latino,2,45-54,58.0,49,9,265000.0,80.0,6.25,-0.03,1,1,1,325000,1,42.03,2,10
1,White,Not Hispanic or Latino,1,45-54,565.0,30%-<36%,9,915000.0,70.0,5.625,-0.772,1,1,1,995000,2,13.74,7,10
1,White,Not Hispanic or Latino,2,35-44,248.0,30%-<36%,9,365000.0,75.0,6.25,0.323,1,1,1,485000,1,29.72,7,10
3,White,Not Hispanic or Latino,1,25-34,55.0,>60%,8,95000.0,84.94,,,1,1,2,415000,1,29.72,6,1
4,White,Not Hispanic or Latino,2,45-54,300.0,,9,405000.0,,,,1,1,1,,1,47.96,2,10
3,Black or African American,Not Hispanic or Latino,1,35-44,91.0,>60%,8,335000.0,83.54,,,1,1,1,395000,1,31.03,6,1
5,White,Not Hispanic or Latino,2,65-74,162.0,,9,205000.0,,,,1,1,1,,1,28.27,6,10
5,Asian,Not Hispanic or Latino,1,45-54,850.0,,9,505000.0,,,,1,1,1,,1,47.96,6,10
3,White,Hispanic or Latino,1,45-54,50.0,<20%,8,45000.0,6.67,,,1,1,1,605000,1,22.13,6,3
1,Joint,Joint,2,25-34,93.0,20%-<30%,9,305000.0,100.0,4.875,-1.194,1,1,1,305000,1,22.75,7,10
1,White,Not Hispanic or Latino,1,25-34,266.0,20%-<30%,1,485000.0,70.0,6.375,-0.057,1,1,1,695000,1,47.96,2,10
1,White,Not Hispanic or Latino,1,35-44,3222.0,<20%,3,1485000.0,80.0,5.375,-0.201,1,1,1,1855000,1,13.87,7,10
1,White,Not Hispanic or Latino,1,25-34,850.0,20%-<30%,9,1085000.0,80.0,6.375,-0.362,1,1,1,1355000,2,13.89,7,10
3,White,Not Hispanic or Latino,1,55-64,134.0,43,8,155000.0,75.04,,,1,1,2,425000,1,14.22,6,1
1,Black or African American,Not Hispanic or Latino,2,35-44,109.0,30%-<36%,3,345000.0,92.0,6.875,0.283,1,1,1,375000,1,24.38,2,10
1,Black or African American,Not Hispanic or Latino,2,35-44,82.0,41,9,335000.0,106.21,5.125,-1.208,1,1,1,325000,1,18.6,7,10
1,White,Not Hispanic or Latino,1,25-34,146.0,42,3,535000.0,89.0,6.125,-0.385,1,1,1,605000,1,34.93,2,10
1,White,Not Hispanic or Latino,2,35-44,244.0,30%-<36%,3,315000.0,58.11,6.625,-0.015,1,1,1,545000,1,47.96,2,10
3,Asian,Not Hispanic or Latino,1,35-44,115.0,44,2,405000.0,134.7,,,1,1,1,305000,1,86.57,7,4
3,White,Not Hispanic or Latino,1,35-44,360.0,30%-<36%,8,755000.0,46.58,,,1,1,1,1615000,1,21.98,6,3
1,White,Not Hispanic or Latino,2,45-54,459.0,37,9,415000.0,80.0,6.875,-0.034,1,1,1,515000,2,15.57,7,10
1,White,Not Hispanic or Latino,2,45-54,213.0,39,1,305000.0,77.95,7.5,0.515,1,1,1,395000,1,20.03,2,10
1,White,Hispanic or Latino,2,35-44,130.0,36,9,305000.0,100.0,7.75,0.35,1,1,1,305000,1,28.27,7,10
3,White,Not Hispanic or Latino,2,45-54,76.0,41,2,195000.0,,,,1,1,1,,1,34.99,6,3
3,White,Not Hispanic or Latino,1,45-54,900.0,37,3,1005000.0,54.06,,,1,1,1,1855000,2,13.39,7,4
3,White,Not Hispanic or Latino,2,65-74,125.0,49,8,355000.0,45.62,,,1,1,1,765000,1,26.05,6,1
4,Asian,Ethnicity Not Available,1,35-44,233.0,,9,675000.0,,,,1,1,1,,1,26.05,2,10
3,White,Not Hispanic or Latino,1,55-64,90.0,50%-60%,2,115000.0,70.0,,,1,1,1,165000,3,42.03,6,1
3,White,Hispanic or Latino,1,45-54,95.0,42,3,245000.0,75.0,,,1,1,1,335000,1,24.18,6,4
1,White,Not Hispanic or Latino,1,55-64,,,7,115000.0,70.0,8.75,,1,1,1,165000,3,42.03,6,10
1,White,Hispanic or Latino,1,55-64,118.0,50%-60%,7,465000.0,96.5,7.25,0.502,2,1,1,485000,1,30.71,1,10
3,White,Not Hispanic or Latino,1,25-34,0.0,,7,275000.0,75.0,,,1,1,1,365000,3,25.57,6,1
4,Black or African American,Hispanic or Latino,1,25-34,165.0,,9,495000.0,,,,1,1,1,,1,47.96,6,10
5,White,Ethnicity Not Available,1,55-64,0.0,,9,435000.0,,,,1,1,1,,3,13.74,6,10
1,Asian,Not Hispanic or Latino,1,35-44,258.0,30%-<36%,2,605000.0,80.0,8.75,1.894,1,1,1,765000,1,26.05,6,10
5,White,Not Hispanic or Latino,2,25-34,257.0,,9,645000.0,,,,1,1,1,,1,16.54,6,10
1,White,Not Hispanic or Latino,1,25-34,110.0,50%-60%,3,355000.0,96.5,7.49,1.422,2,1,1,365000,1,29.83,3,10
1,Asian,Not Hispanic or Latino,1,25-34,118.0,37,3,245000.0,60.0,7.25,3.102,1,1,1,415000,1,27.18,6,10
1,Asian,Not Hispanic or Latino,2,35-44,337.0,38,1,105000.0,51.22,7.375,,1,1,1,205000,3,34.93,6,10
1,Asian,Not Hispanic or Latino,2,35-44,120.0,30%-<36%,3,265000.0,52.0,7.0,2.688,1,1,1,505000,1,28.84,6,10
5,White,Not Hispanic or Latino,2,25-34,40.0,,9,95000.0,,,,1,1,1,,1,0.0,6,10
3,White,Not Hispanic or Latino,1,35-44,60.0,>60%,2,185000.0,,,,1,1,1,185000,1,0.0,6,3
5,White,Not Hispanic or Latino,2,55-64,63.0,,9,135000.0,,,,1,1,1,,1,0.0,6,10
3,White,Not Hispanic or Latino,2,25-34,72.0,20%-<30%,2,95000.0,,,,1,1,1,105000,1,0.0,6,3
3,White,Hispanic or Latino,2,25-34,50.0,50%-60%,2,135000.0,,,,1,1,1,145000,1,0.0,6,3
5,White,Hispanic or Latino,1,45-54,72.0,,9,195000.0,,,,1,1,1,,1,0.0,6,10
5,White,Not Hispanic or Latino,2,25-34,82.0,,9,125000.0,,,,1,1,1,,1,0.0,6,10
5,White,Hispanic or Latino,1,35-44,67.0,,9,115000.0,,,,1,1,1,,1,0.0,6,10
3,Joint,Not Hispanic or Latino,1,35-44,92.0,20%-<30%,2,75000.0,,,,1,1,1,75000,1,0.0,6,3
3,White,Joint,1,25-34,54.0,50%-60%,2,155000.0,,,,1,1,1,155000,1,26.63,6,3
3,White,Not Hispanic or Latino,2,25-34,60.0,50%-60%,2,135000.0,,,,1,1,1,145000,1,24.18,6,3
3,White,Ethnicity Not Available,2,25-34,104.0,30%-<36%,2,25000.0,,,,1,1,1,25000,1,48.78,6,3
3,White,Not Hispanic or Latino,2,35-44,51.0,50%-60%,2,115000.0,,,,1,1,1,125000,1,14.22,6,3
5,White,Not Hispanic or Latino,2,45-54,66.0,,9,45000.0,,,,1,1,1,,1,29.83,6,10
3,Joint,Joint,2,25-34,137.0,20%-<30%,2,135000.0,,,,1,1,1,135000,1,24.18,6,3
3,White,Not Hispanic or Latino,2,45-54,28.0,>60%,2,65000.0,,,,1,1,1,85000,1,28.19,6,3
1,White,Not Hispanic or Latino,1,65-74,49.0,41,2,85000.0,,11.1,5.468,1,1,1,95000,1,29.58,6,10
3,White,Not Hispanic or Latino,1,55-64,59.0,>60%,2,135000.0,,,,1,1,1,135000,1,20.95,6,3
3,White,Not Hispanic or Latino,1,55-64,88.0,50%-60%,2,125000.0,,,,1,1,1,135000,1,20.95,6,1
5,White,Not Hispanic or Latino,2,45-54,89.0,,9,85000.0,,,,1,1,1,,1,21.56,6,10
5,White,Not Hispanic or Latino,2,35-44,52.0,,9,45000.0,,,,1,1,1,,1,13.74,6,10
5,White,Not Hispanic or Latino,2,65-74,42.0,,9,115000.0,,,,1,1,1,,1,20.95,6,10
5,White,Not Hispanic or Latino,2,45-54,86.0,,9,65000.0,,,,1,1,1,,1,24.18,6,10
1,American Indian or Alaska Native,Ethnicity Not Available,1,55-64,62.0,41,2,55000.0,,11.5,4.987,1,1,1,55000,1,21.09,6,10
1,White,Not Hispanic or Latino,1,35-44,635.0,20%-<30%,3,1255000.0,65.0,6.375,-0.818,1,1,1,1935000,1,18.81,6,10
6,White,Not Hispanic or Latino,1,65-74,182.0,,9,125000.0,,6.0,,1,1,1,555000,2,47.96,6,10
8,White,Not Hispanic or Latino,1,35-44,816.0,<20%,2,285000.0,60.0,6.35,,1,1,1,475000,3,13.39,6,10
4,White,Not Hispanic or Latino,1,25-34,153.0,,9,495000.0,,,,1,1,1,,1,47.97,1,10
5,White,Not Hispanic or Latino,1,45-54,259.0,,9,285000.0,,,,1,1,1,,1,29.72,1,10
1,White,Not Hispanic or Latino,1,35-44,135.0,44,1,565000.0,80.0,6.25,-0.108,1,1,1,705000,1,39.18,1,10
5,White,Not Hispanic or Latino,2,25-34,200.0,,9,395000.0,,,,1,1,1,,1,34.1,1,10
5,White,Not Hispanic or Latino,2,25-34,60.0,,9,245000.0,,,,1,1,1,,1,34.93,6,10
1,White,Not Hispanic or Latino,2,35-44,85.0,49,2,345000.0,80.0,6.5,-0.374,1,1,1,425000,1,20.95,1,10
1,White,Not Hispanic or Latino,2,25-34,247.0,20%-<30%,2,705000.0,80.0,7.125,0.011,1,1,1,875000,1,47.96,1,10
3,White,Not Hispanic or Latino,1,55-64,180.0,Exempt,1111,475000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,14.83,1111,9
3,White,Not Hispanic or Latino,1,45-54,91.0,Exempt,1111,195000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,19.02,1111,7
3,White,Not Hispanic or Latino,1,55-64,180.0,Exempt,1111,475000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,14.83,1111,1
2,White,Not Hispanic or Latino,2,35-44,194.0,20%-<30%,1,275000.0,89.98,6.49,0.38,1,1,2,385000,1,29.37,6,10
4,White,Not Hispanic or Latino,1,25-34,112.0,,9,285000.0,,,,3,1,1,,1,30.71,2,10
1,Black or African American,Not Hispanic or Latino,1,35-44,106.0,50%-60%,2,505000.0,85.47,6.75,-0.142,3,1,1,585000,1,22.75,1,10
1,White,Hispanic or Latino,1,25-34,117.0,47,2,405000.0,100.0,6.75,0.004,3,1,1,405000,1,34.99,1,10
4,White,Not Hispanic or Latino,1,55-64,79.0,,9,285000.0,,,,3,1,1,,1,63.55,1,10
4,White,Not Hispanic or Latino,1,45-54,142.0,,9,375000.0,,,,1,1,1,,1,13.3,1,10
4,Asian,Not Hispanic or Latino,1,35-44,136.0,,9,335000.0,,,,1,1,1,,1,48.78,1,10
1,Asian,Not Hispanic or Latino,1,45-54,196.0,20%-<30%,3,235000.0,75.0,7.99,1.788,1,1,1,315000,1,35.04,1,10
1,White,Hispanic or Latino,2,35-44,164.0,30%-<36%,3,375000.0,75.0,9.99,3.818,1,1,1,495000,1,30.71,1,10
1,White,Not Hispanic or Latino,1,65-74,,<20%,1,145000.0,38.89,9.125,,1,1,1,365000,3,86.57,1,10
1,White,Hispanic or Latino,1,45-54,255.0,20%-<30%,1,335000.0,75.0,10.99,3.677,1,1,1,455000,1,29.37,1,10
1,White,Not Hispanic or Latino,1,35-44,434.0,20%-<30%,3,505000.0,52.08,7.99,1.382,1,1,1,965000,1,20.01,6,10
1,White,Not Hispanic or Latino,1,45-54,138.0,43,1,375000.0,90.0,9.99,4.103,1,1,1,415000,1,13.3,6,10
4,White,Ethnicity Not Available,2,45-54,114.0,,9,185000.0,,,,1,1,1,,1,46.63,6,10
1,White,Not Hispanic or Latino,1,35-44,115.0,38,1,315000.0,80.0,7.375,0.476,1,1,1,395000,1,26.63,1,10
1,White,Hispanic or Latino,2,35-44,145.0,43,2,495000.0,95.0,6.125,0.216,1,1,1,525000,1,20.01,1,10
1,White,Not Hispanic or Latino,1,35-44,128.0,<20%,2,195000.0,85.0,5.975,-0.251,1,1,1,225000,1,14.83,2,10
1,White,Not Hispanic or Latino,2,25-34,78.0,30%-<36%,1,265000.0,78.788,6.4,0.138,1,1,1,335000,1,16.54,2,10
1,White,Not Hispanic or Latino,2,45-54,366.0,<20%,3,655000.0,80.0,5.975,-0.498,1,1,1,815000,1,13.3,2,10
1,White,Not Hispanic or Latino,1,35-44,170.0,<20%,2,185000.0,95.0,5.975,-0.332,1,1,1,195000,1,13.39,2,10
4,White,Joint,2,35-44,153.0,,9,415000.0,,,,2,1,1,,1,16.54,3,10
1,White,Not Hispanic or Latino,1,35-44,180.0,20%-<30%,2,315000.0,80.0,5.875,0.045,1,1,1,395000,1,12.78,2,10
1,Asian,Not Hispanic or Latino,1,35-44,520.0,<20%,1,325000.0,80.0,6.25,0.106,1,1,1,405000,1,34.8,1,10
1,White,Not Hispanic or Latino,2,35-44,184.0,50%-60%,3,665000.0,90.0,6.625,0.468,1,1,1,745000,1,12.78,2,10
1,White,Not Hispanic or Latino,2,45-54,453.0,20%-<30%,3,725000.0,92.015,6.125,0.332,1,1,1,785000,1,39.18,1,10
1,White,Not Hispanic or Latino,1,35-44,183.0,40,2,615000.0,80.0,5.99,-0.283,1,1,1,765000,1,21.82,1,10
4,White,Not Hispanic or Latino,2,45-54,164.0,,9,325000.0,,,,1,1,1,,1,34.1,2,10
4,White,Not Hispanic or Latino,2,25-34,175.0,,9,605000.0,,,,1,1,1,,1,25.21,2,10
1,White,Not Hispanic or Latino,2,45-54,232.0,20%-<30%,1,495000.0,55.51,6.125,-0.391,1,1,1,895000,1,21.98,2,10
3,White,Not Hispanic or Latino,2,45-54,24.0,>60%,1,135000.0,32.378,,,1,1,1,415000,1,18.48,1,1
4,Asian,Not Hispanic or Latino,1,25-34,110.0,,9,285000.0,,,,1,1,1,,1,29.83,1,10
4,White,Not Hispanic or Latino,1,25-34,352.0,,9,205000.0,,,,1,1,1,,3,78.45,6,10
1,White,Not Hispanic or Latino,1,45-54,148.0,48,3,425000.0,96.5,6.75,1.198,2,1,1,435000,1,19.02,3,10
1,White,Not Hispanic or Latino,1,55-64,885.0,20%-<30%,3,755000.0,80.0,6.875,0.459,1,1,1,945000,2,12.78,1,10
1,White,Not Hispanic or Latino,2,45-54,129.0,36,3,335000.0,95.0,6.3,0.108,1,1,1,355000,1,34.1,1,10
4,White,Not Hispanic or Latino,2,25-34,160.0,,9,615000.0,,,,1,1,1,,1,16.54,2,10
1,White,Not Hispanic or Latino,2,25-34,120.0,44,2,455000.0,90.0,6.625,0.145,1,1,1,505000,1,28.84,2,10
1,White,Not Hispanic or Latino,1,45-54,376.0,20%-<30%,1,575000.0,97.0,6.575,0.305,1,1,1,595000,1,34.8,2,10
1,White,Not Hispanic or Latino,1,25-34,407.0,<20%,1,185000.0,75.0,6.5,,1,1,1,245000,3,86.57,2,10
4,White,Hispanic or Latino,2,25-34,48.0,,9,155000.0,,,,1,1,1,,1,42.75,2,10
4,White,Not Hispanic or Latino,2,55-64,216.0,,9,495000.0,,,,1,1,1,,1,19.18,1,10
5,White,Not Hispanic or Latino,1,25-34,181.0,,9,485000.0,,,,1,1,1,,1,29.83,6,10
1,White,Not Hispanic or Latino,2,25-34,189.0,38,2,615000.0,80.0,7.125,0.364,1,1,1,765000,1,16.54,2,10
1,White,Not Hispanic or Latino,2,25-34,147.0,46,2,605000.0,65.0,6.975,0.17,1,1,1,925000,1,25.21,2,10
1,White,Not Hispanic or Latino,1,35-44,100.0,40,3,315000.0,97.0,7.125,0.615,1,1,1,325000,1,39.18,1,10
1,White,Joint,2,35-44,166.0,20%-<30%,3,305000.0,63.158,6.975,0.231,1,1,1,475000,1,21.82,1,10
1,White,Not Hispanic or Latino,2,35-44,124.0,37,1,225000.0,69.231,7.4,0.213,1,1,1,325000,1,13.74,1,10
3,Asian,Not Hispanic or Latino,2,45-54,,,3,255000.0,49.02,,,1,1,1,515000,3,29.58,2,3
3,Asian,Not Hispanic or Latino,2,45-54,,,3,355000.0,100.571,,,1,1,1,355000,3,29.58,2,4
1,White,Not Hispanic or Latino,1,35-44,188.0,42,1,495000.0,95.0,7.625,0.592,1,1,1,525000,1,39.18,1,10
1,White,Not Hispanic or Latino,1,55-64,239.0,20%-<30%,3,525000.0,75.0,6.8,-0.055,1,1,1,705000,1,18.7,1,10
4,White,Not Hispanic or Latino,1,45-54,70.0,,9,295000.0,,,,1,1,1,,1,19.02,2,10
5,White,Not Hispanic or Latino,2,25-34,187.0,,9,335000.0,,,,1,1,1,,1,28.19,1,10
4,White,Not Hispanic or Latino,1,35-44,413.0,,9,505000.0,,,,1,1,1,,3,14.83,6,10
1,White,Not Hispanic or Latino,2,35-44,,20%-<30%,3,225000.0,68.75,6.24,0.659,1,1,1,325000,1,14.22,6,10
4,White,Not Hispanic or Latino,1,55-64,394.0,,9,255000.0,,,,1,1,1,,1,14.22,6,10
4,White,Hispanic or Latino,1,55-64,152.0,,9,255000.0,,,,1,1,1,,1,14.22,6,10
3,White,Not Hispanic or Latino,1,35-44,76.0,50%-60%,8,215000.0,80.0,,,1,1,1,275000,1,13.39,6,1
3,White,Not Hispanic or Latino,1,45-54,72.0,>60%,8,905000.0,,,,1,1,1,,3,12.78,6,1
1,White,Hispanic or Latino,2,65-74,593.0,<20%,9,415000.0,75.0,6.0,,1,1,1,545000,3,13.89,6,10
1,Black or African American,Not Hispanic or Latino,2,55-64,80.0,20%-<30%,3,205000.0,72.73,5.5,-0.193,1,1,1,275000,1,25.14,6,10
1,White,Hispanic or Latino,2,25-34,84.0,20%-<30%,3,135000.0,90.0,5.25,0.058,1,1,1,145000,1,33.23,6,10
3,Black or African American,Not Hispanic or Latino,1,55-64,111.0,20%-<30%,1,235000.0,88.848,,,1,1,1,265000,1,24.38,2,8
4,White,Not Hispanic or Latino,2,65-74,76.0,,9,175000.0,,,,1,1,1,,1,21.9,6,10
5,White,Not Hispanic or Latino,2,25-34,124.0,,9,325000.0,,,,1,1,1,,1,27.18,6,10
3,White,Hispanic or Latino,2,35-44,50.0,>60%,1,285000.0,94.791,,,1,1,1,305000,1,21.98,2,1
1,White,Hispanic or Latino,1,35-44,60.0,43,1,195000.0,55.714,6.5,-0.109,1,1,1,355000,1,29.58,6,10
1,White,Not Hispanic or Latino,1,45-54,169.0,20%-<30%,9,325000.0,90.0,7.375,-0.014,1,1,1,365000,1,29.58,6,10
1,White,Not Hispanic or Latino,2,25-34,131.0,39,2,355000.0,80.0,7.5,-0.237,1,1,1,435000,1,21.82,6,10
1,Black or African American,Not Hispanic or Latino,2,35-44,297.0,20%-<30%,1,485000.0,80.0,6.875,0.757,1,1,1,615000,1,30.06,1,10
3,White,Not Hispanic or Latino,1,55-64,48.0,>60%,3,145000.0,68.03,,,1,1,1,215000,3,18.7,1,1
1,White,Not Hispanic or Latino,2,65-74,71.0,39,1,155000.0,37.5,6.375,-0.142,1,1,1,405000,1,18.7,1,10
1,White,Ethnicity Not Available,2,45-54,47.0,49,1,155000.0,80.0,6.75,0.214,1,1,1,195000,1,33.23,1,10
1,White,Not Hispanic or Latino,1,35-44,625.0,30%-<36%,9,1545000.0,80.0,5.875,-0.125,1,1,1,1925000,1,21.56,6,10
5,White,Not Hispanic or Latino,1,25-34,160.0,,9,395000.0,,,,1,1,1,,1,29.83,1,10
1,White,Hispanic or Latino,1,25-34,188.0,20%-<30%,3,325000.0,80.0,10.0,4.162,1,1,1,405000,1,28.84,6,10
3,White,Not Hispanic or Latino,1,45-54,181.0,50%-60%,3,725000.0,74.87,,,1,1,1,975000,1,20.01,6,4
3,White,Hispanic or Latino,1,35-44,75.0,30%-<36%,3,185000.0,80.0,,,1,1,1,235000,1,22.75,6,4
1,White,Hispanic or Latino,1,35-44,118.0,49,3,265000.0,75.0,11.99,5.122,1,1,1,355000,1,34.8,6,10
4,Joint,Not Hispanic or Latino,1,35-44,179.0,,9,465000.0,,,,1,1,1,,1,25.21,1,10
1,White,Not Hispanic or Latino,1,35-44,185.0,<20%,3,175000.0,26.87,6.99,0.903,1,1,1,655000,1,18.7,1,10
1,American Indian or Alaska Native,Hispanic or Latino,1,55-64,244.0,20%-<30%,1,425000.0,74.991,6.99,0.454,1,1,1,575000,1,25.21,1,10
1,White,Not Hispanic or Latino,2,55-64,71.0,Exempt,1111,295000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,13.74,1111,1111
3,White,Not Hispanic or Latino,1,25-34,55.0,Exempt,1111,105000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,42.03,1111,1111
1,White,Not Hispanic or Latino,1,35-44,376.0,Exempt,1111,315000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,3,25.57,1111,1111
1,White,Not Hispanic or Latino,2,25-34,264.0,Exempt,1111,525000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,20.49,1111,1111
1,White,Not Hispanic or Latino,1,45-54,135.0,Exempt,1111,205000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,26.63,1111,1111
1,White,Not Hispanic or Latino,2,25-34,80.0,Exempt,1111,145000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,34.93,1111,1111
1,White,Not Hispanic or Latino,2,25-34,72.0,Exempt,1111,185000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,30.71,1111,1111
1,White,Not Hispanic or Latino,1,>74,855.0,Exempt,1111,725000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,13.89,1111,1111
1,White,Joint,2,25-34,125.0,Exempt,1111,335000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,31.47,1111,1111
1,White,Not Hispanic or Latino,2,>74,158.0,Exempt,1111,175000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,3,18.6,1111,1111
4,White,Not Hispanic or Latino,2,35-44,129.0,Exempt,1111,245000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,21.09,1111,1111
1,American Indian or Alaska Native,Not Hispanic or Latino,1,25-34,69.0,Exempt,1111,185000.0,Exempt,Exempt,Exempt,1,1,1,Exempt,1,12.78,1111,1111
